,OBJECTID,סמל רחוב,שם רחוב,מספר בית,קוד שימוש,שימוש במבנה,מספר קומות,מספר כניסות,מספר דירות,שכבה,קוד רחוב 2,שם רחוב 2,Shape,שטח מעטפת במטר מרובע,היקף מעטפת במטרים,geo
0,36682972,1117,קורות העיתים,6.0, , ,4,2,16,2200,0, ,,345.7287139892578,107.00459045105777,"(218666.4219, 632825.4844)"
1,36682973,988,הרב שרירא גאון,4.0, , ,4,3,3,2200,0, ,,269.4101104736328,91.70856839297208,"(218666.4219, 632825.4844)"
2,36682974,1117,קורות העיתים,8.0, , ,3,1,10,2200,0, ,,275.47544860839844,87.49920208592864,"(218647.0156, 632839.6719)"
3,36682975,1090,העילוי,12.0, , ,4,1,11,2200,0, ,,192.7876434326172,75.60492963621768,"(218622.1571, 632908.762700001)"
4,36682976,1086,בן ציון,14.0, , ,4,1,10,2200,0, ,,302.8261260986328,72.2391012144933,"(218585.9121, 632910.493799999)"
5,36682977,1086,בן ציון,12.0, , ,4,4,32,2200,0, ,,755.9577941894531,191.933085382573,"(218622.1571, 632908.762700001)"
6,36682978,1086,בן ציון,8.0, , ,4,1,8,2200,0, ,,210.0941162109375,64.47974929537217,"(218707.625, 632920.0)"
7,36682979,1086,בן ציון,4.0, , ,2,2,2,2200,0, ,,297.7364654541016,80.03129170887402,"(218747.0, 632925.2031)"
8,36682980,1090,העילוי,9.0, , ,4,1,12,2200,0, ,,304.9799194335937,85.82895348178653,"(218747.0, 632925.2031)"
9,36682981,945,תכלת מרדכי,17.0, , ,6,1,11,2200,0, ,,548.6002502441406,136.15652959958211,"(219693.7407, 633425.552999999)"
10,36682982,315,אלקנה,13.0, , ,4,1,5,2200,0, ,,273.6063232421875,92.32779090768324,"(220365.5313, 633441.4844)"
11,36682983,963,ראש פינה,1.0, , ,3,3,18,2200,0, ,,662.4404296875,174.27286303297635,"(219087.0344, 633402.744999999)"
12,36682984,315,אלקנה,15.0, , ,3,1,10,2200,0, ,,276.84161376953125,93.85351646249735,"(220348.9844, 633436.4375)"
13,36682985,944,המ''ג,21.0, , ,6,2,22,2200,0, ,,442.56837463378906,96.76077078790024,"(218977.6421, 633447.506200001)"
14,36682986,315,אלקנה,21.0, , ,3,1,6,2200,0, ,,252.02557373046875,81.73744540343024,"(220331.3594, 633453.0156)"
15,36682987,937,ירמיהו,2.0,ע, ,3,2,20,2200,0, ,,664.2386627197266,167.66478858871344,"(220438.563, 633441.003599999)"
16,36682988,301,בר אילן,36.0, , ,3,1,7,2200,0, ,,267.2965545654297,78.38419932642745,"(220476.5703, 633454.4531)"
17,36682989,315,אלקנה,11.0, , ,4,1,4,2200,0, ,,253.4078826904297,88.37680522919334,"(220386.7969, 633454.7969)"
18,36682990,944,המ''ג,26.0, , ,4,3,42,2200,0, ,,628.8582305908203,169.1106197705862,"(219029.8275, 633446.802200001)"
19,36682991,945,תכלת מרדכי,17.0, , ,4,1,36,2200,0, ,,498.3424072265625,126.39523197969018,"(219693.7407, 633425.552999999)"
20,36682992,907,שמגר,17.0, ,ישיבה,1,1,0,2200,0, ,,253.0943756103516,76.5293631397691,"(219785.81, 633460.5)"
21,36682993,301,בר אילן,34.0, , ,4,1,7,2200,0, ,,204.36021423339844,64.57532990243422,"(220494.5, 633460.281300001)"
22,36682994,964,זכרון יעקב,19.0, , ,8,2,18,2200,0, ,,513.8380279541016,113.52962246504768,"(219219.9961, 633448.8771)"
23,36682995,954,גדרה,6.0, , ,2,2,6,2200,0, ,,260.1328125,79.96461403162027,"(218946.5264, 633456.1184)"
24,36682996,314,עלי הכהן,3.0, , ,4,2,16,2200,0, ,,362.7790222167969,105.25301220749364,"(220432.8665, 633470.453)"
