OBJECTID,סמל רחוב,שם רחוב,מספר בית,קוד שימוש,שימוש במבנה,מספר קומות,מספר כניסות,מספר דירות,שכבה,קוד רחוב 2,שם רחוב 2,Shape,שטח מעטפת במטר מרובע,היקף מעטפת במטרים
36682972,1117,קורות העיתים,6, , ,4,2,16,2200,0000, ,,345.7287139892578,107.00459045105777
36682973,0988,הרב שרירא גאון,4, , ,4,3,3,2200,0000, ,,269.4101104736328,91.70856839297208
36682974,1117,קורות העיתים,8, , ,3,1,10,2200,0000, ,,275.47544860839844,87.49920208592864
36682975,1090,העילוי,12, , ,4,1,11,2200,0000, ,,192.7876434326172,75.60492963621768
36682976,1086,בן ציון,14, , ,4,1,10,2200,0000, ,,302.8261260986328,72.2391012144933
36682977,1086,בן ציון,12, , ,4,4,32,2200,0000, ,,755.9577941894531,191.933085382573
36682978,1086,בן ציון,8, , ,4,1,8,2200,0000, ,,210.0941162109375,64.47974929537217
36682979,1086,בן ציון,4, , ,2,2,2,2200,0000, ,,297.73646545410156,80.03129170887402
36682980,1090,העילוי,9, , ,4,1,12,2200,0000, ,,304.97991943359375,85.82895348178653
36682981,0945,תכלת מרדכי,17, , ,6,1,11,2200,0000, ,,548.6002502441406,136.15652959958211
36682982,0315,אלקנה,13, , ,4,1,5,2200,0000, ,,273.6063232421875,92.32779090768324
36682983,0963,ראש פינה,1, , ,3,3,18,2200,0000, ,,662.4404296875,174.27286303297637
36682984,0315,אלקנה,15, , ,3,1,10,2200,0000, ,,276.84161376953125,93.85351646249737
36682985,0944,המ''ג,21, , ,6,2,22,2200,0000, ,,442.56837463378906,96.76077078790023
36682986,0315,אלקנה,21, , ,3,1,6,2200,0000, ,,252.02557373046875,81.73744540343024
36682987,0937,ירמיהו,2,ע, ,3,2,20,2200,0000, ,,664.2386627197266,167.66478858871344
36682988,0301,בר אילן,36, , ,3,1,7,2200,0000, ,,267.2965545654297,78.38419932642745
36682989,0315,אלקנה,11, , ,4,1,4,2200,0000, ,,253.4078826904297,88.37680522919334
36682990,0944,המ''ג,26, , ,4,3,42,2200,0000, ,,628.8582305908203,169.1106197705862
36682991,0945,תכלת מרדכי,17, , ,4,1,36,2200,0000, ,,498.3424072265625,126.39523197969018
36682992,0907,שמגר,17, ,ישיבה,1,1,0,2200,0000, ,,253.09437561035156,76.5293631397691
36682993,0301,בר אילן,34, , ,4,1,7,2200,0000, ,,204.36021423339844,64.57532990243422
